>NZ_HG994851.1 Escherichia coli isolate 127 chromosome main, complete sequence
>NZ_CP053079.1 Escherichia coli strain K56-43-un chromosome, complete genome
>NZ_CP129263.1 Escherichia coli strain STEC1588 chromosome, complete genome
>NZ_CP061108.1 Escherichia coli strain 1EC187 chromosome, complete genome
>NZ_CP042901.1 Escherichia coli strain CFSAN061762 chromosome, complete genome
>NZ_CP132979.1 Escherichia coli strain ARS-C101 chromosome, complete genome
>NZ_CP021175.1 Escherichia coli strain 5CRE51 chromosome, complete genome
>NZ_CP047594.1 Escherichia coli strain LD27-1 chromosome, complete genome
>NZ_CP136397.1 Escherichia coli strain DCM272-43-68 chromosome, complete genome
>NZ_CP122660.1 Escherichia coli strain ETEC4073 chromosome, complete genome
>NZ_CP027584.1 Escherichia coli strain 00-3076 chromosome, complete genome
>NZ_CP051700.1 Escherichia coli strain SCU-125 chromosome, complete genome
>NC_011750.1 Escherichia coli IAI39, complete sequence
>NZ_CP099588.1 Escherichia coli strain EMG2 chromosome, complete genome
>NZ_CP137765.1 Escherichia coli strain GCEC19 chromosome, complete genome
>NZ_CP139846.1 Escherichia coli strain Nord58 chromosome, complete genome
>NZ_LR025096.1 Escherichia coli isolate EC-7215 chromosome 1, complete sequence
>NZ_CP054407.1 Escherichia coli strain KCJ3K291 chromosome, complete genome
>NZ_CP013831.1 Escherichia coli strain CD306 chromosome, complete genome
>NZ_CP033850.1 Escherichia coli strain FDAARGOS_497 chromosome, complete genome
>NZ_CP021689.1 Escherichia coli strain AR_0058 chromosome, complete genome
>NZ_CP074701.1 Escherichia coli strain 702/18 chromosome, complete genome
>NZ_CP125889.1 Escherichia coli strain EPSSH018 chromosome, complete genome
>NZ_CP063473.1 Escherichia coli strain EM18-18-42 chromosome, complete genome
>NC_010473.1 Escherichia coli str. K-12 substr. DH10B, complete sequence
>NZ_LR778147.1 Escherichia coli isolate SC418 chromosome 1
>NZ_CP060938.1 Escherichia coli strain EC11 chromosome, complete genome
>NZ_CP021535.1 Escherichia coli strain AR_0119 chromosome, complete genome
>NZ_CP053592.1 Escherichia coli strain NEBExpress_Iq chromosome, complete genome
>NZ_CP115361.1 Escherichia coli strain CUVET20-1667 chromosome, complete genome
>NZ_CP104472.1 Escherichia coli strain UC4224 chromosome, complete genome
>NZ_CP123951.1 Escherichia coli strain TL012 chromosome, complete genome
>NZ_CP122451.1 Escherichia coli strain 82.0312 chromosome, complete genome
>NZ_CP025920.1 Escherichia coli strain 103605 chromosome, complete genome
>NZ_CP009789.1 Escherichia coli K-12 strain K-12 ER3413 chromosome, complete genome
>NZ_CP091652.1 Escherichia coli strain KMi025 chromosome, complete genome
>NZ_CP051765.1 Escherichia coli strain SCU-113 chromosome, complete genome
>NZ_CP019259.1 Escherichia coli strain 13C1065T chromosome, complete genome
>NZ_CP013658.1 Escherichia coli strain uk_P46212 chromosome, complete genome
>NZ_CP114893.1 Escherichia coli strain CM13 chromosome, complete genome
>NZ_CP058302.1 Escherichia coli strain AH65 chromosome, complete genome
>NZ_LR134209.1 Escherichia coli strain NCTC11476 chromosome 1, complete sequence
>NZ_CP135235.1 Escherichia coli strain Escherichia coli EC16639 chromosome, complete genome
>NZ_CP034808.1 Escherichia coli strain 08-3914 chromosome, complete genome
>NZ_CP138416.1 Escherichia coli strain 39EVA chromosome, complete genome
>NZ_AP027258.1 Escherichia coli strain JNE151685 chromosome, complete genome
>NZ_CP099338.1 Escherichia fergusonii strain RHB44-C01 chromosome, complete genome
>NZ_OW967795.1 Escherichia coli isolate 538 chromosome main, complete sequence
>NZ_CP128613.1 Escherichia coli strain WL297 chromosome, complete genome
>NZ_CP116046.1 Escherichia coli strain EC812A1 chromosome, complete genome
>NZ_CP042942.1 Escherichia fergusonii strain ATCC 35473 chromosome, complete genome
>NZ_CP111008.1 Escherichia coli strain J53-p130 chromosome, complete genome
>NZ_CP098231.1 Escherichia coli strain XJ34 chromosome, complete genome
>NZ_CP069441.1 Escherichia coli strain FDAARGOS_1261 chromosome, complete genome
>NZ_CP072565.1 Escherichia coli strain WG5::PA8 chromosome, complete genome
>NZ_CP043821.1 Escherichia coli strain RM10740 chromosome, complete genome
>NZ_CP036177.1 Escherichia coli strain WCHEC025970 chromosome, complete genome
>NZ_CP058922.1 Escherichia coli strain MS10711 chromosome, complete genome
>NZ_CP027342.1 Escherichia coli strain 2014C-4587 chromosome, complete genome
>NZ_CP053855.1 Escherichia coli strain 258E chromosome, complete genome
>NZ_CP012380.1 Escherichia coli strain WAT chromosome, complete genome
>NZ_CP098183.1 Escherichia coli strain Z0117EC0133 chromosome, complete genome
>NZ_CP010226.1 Escherichia coli strain S1 chromosome, complete genome
>NZ_CP104526.1 Escherichia coli strain E8 chromosome, complete genome
>NZ_AP027963.1 Escherichia coli strain VE-T9 chromosome, complete genome
>NZ_CP134389.1 Escherichia coli strain TUM10828 chromosome, complete genome
>NZ_CP010196.1 Escherichia coli strain M9 chromosome, complete genome
>NZ_CP057220.1 Escherichia fergusonii strain RHB32-C22 chromosome, complete genome
>NZ_CP057561.1 Escherichia fergusonii strain RHB23-C02 chromosome, complete genome
>NZ_CP135680.1 Escherichia coli strain TUM3755 chromosome, complete genome
>NZ_CP041422.1 Escherichia coli strain STEC409 chromosome, complete genome
>NZ_CP082824.1 Escherichia coli strain SCAID URN1-2021 (19/278) chromosome, complete genome
>NZ_CP025328.1 Escherichia coli strain ExPEC XM chromosome, complete genome
>NZ_CP072785.1 Escherichia coli strain JA0265 chromosome, complete genome
>NZ_CP032989.1 Escherichia coli strain W2-5 chromosome, complete genome
>NZ_CP073943.1 Escherichia coli strain MB52 chromosome, complete genome
>NZ_CP082827.1 Escherichia coli strain SCAID WND2-2021 (3/145) chromosome, complete genome
>NZ_CP107120.1 Escherichia coli strain S12 chromosome, complete genome
>NZ_CP038386.1 Escherichia coli O55:H7 strain DEC5D chromosome, complete genome
>NZ_CP043181.1 Escherichia coli O2:H6 strain PG20180057 chromosome, complete genome
>NZ_CP099883.1 Escherichia albertii strain 231_1_NP_B chromosome, complete genome
>NZ_CP022959.1 Escherichia coli ATCC 8739 chromosome, complete genome
>NZ_CP025862.1 Escherichia coli strain 504237 chromosome, complete genome
>NZ_CP116480.1 Escherichia coli strain GTEN_24 chromosome, complete genome
>NZ_CP128907.1 Escherichia coli strain TUM13881 chromosome, complete genome
>NZ_LR778142.1 Escherichia coli isolate SC434 chromosome 1
>NZ_CP133128.1 Escherichia coli O157:H7 strain PNUSAE146743 chromosome, complete genome
>NZ_CP043279.1 Escherichia coli strain WCHEC025157 chromosome, complete genome
>NZ_CP058342.1 Escherichia coli strain W60 chromosome, complete genome
>NZ_HG941718.1 Escherichia coli O25b:H4-ST131 strain EC958 chromosome I, complete sequence
>NZ_CP032261.1 Escherichia coli strain AR_0067 chromosome, complete genome
>NZ_CP054230.1 Escherichia coli strain EcPF14 chromosome, complete genome
>NZ_CP127306.1 Escherichia coli strain C51 chromosome, complete genome
>NZ_CP095125.1 Escherichia coli strain Iso00270 chromosome, complete genome
>NZ_CP086604.1 Escherichia fergusonii strain EF20JDJ4045 chromosome, complete genome
>NZ_CP062766.1 Escherichia coli O157:H7 strain Z866 chromosome, complete genome
>NZ_CP074359.1 Escherichia coli strain XJ6.2 chromosome, complete genome
>NZ_CP008697.1 Escherichia coli strain ST648 isolate Pleural Effusion of Patients with Empyema Thoracis chromosome, complete genome
>NZ_CP011320.1 Escherichia coli strain SQ37 chromosome, complete genome
>NC_013654.1 Escherichia coli SE15, complete sequence
>NZ_CP117053.1 Escherichia coli strain MLI106K4 chromosome, complete genome
>NZ_CP043271.1 Escherichia albertii strain RM9973 chromosome, complete genome
>NZ_CP034212.1 Escherichia albertii strain 2010C-3449 chromosome, complete genome
>NZ_CP028652.1 Escherichia coli strain 123 chromosome, complete genome
>NZ_CP049197.1 Escherichia coli strain E597 chromosome, complete genome
>NZ_CP123237.1 Escherichia coli strain 4588 chromosome, complete genome
>NZ_CP123244.1 Escherichia coli strain YZMc3-1 chromosome, complete genome
>NC_002695.2 Escherichia coli O157:H7 str. Sakai DNA, complete genome
>NZ_CP064167.1 Escherichia coli O157:H7 strain Wll001 chromosome, complete genome
>NZ_CP138397.1 Escherichia coli strain 81EVA chromosome, complete genome
>NZ_CP144364.1 Escherichia coli strain H106 chromosome, complete genome
>NZ_CP063511.1 Escherichia coli strain EH08-18-36 chromosome, complete genome
>NZ_CP035879.1 Escherichia coli strain DS26-1 chromosome, complete genome
>NZ_CP070906.1 Escherichia coli strain 88COLEC chromosome, complete genome
>NZ_CP139808.1 Escherichia coli strain FLI21 chromosome, complete genome
>NZ_CP026027.1 Escherichia coli strain LIM chromosome, complete genome
>NZ_AP021895.1 Escherichia coli strain 2018-11-3CC chromosome, complete genome
>NZ_LR134248.1 Escherichia coli strain NCTC10537 chromosome 1, complete sequence
>NZ_CP086625.1 Escherichia coli strain RIVM_C037166 chromosome, complete genome
>NZ_CP048605.1 Escherichia coli strain PapRG-06-5 chromosome, complete genome
>NZ_CP072986.1 Escherichia coli strain T159A chromosome, complete genome
>NZ_CP056165.1 Escherichia marmotae strain RHBSTW-00777 chromosome, complete genome
>NZ_CP041628.1 Escherichia coli strain PE15 chromosome, complete genome
>NZ_CP124320.1 Escherichia coli strain AVS0754 chromosome, complete genome
>NZ_CP070954.1 Escherichia fergusonii strain EF44 chromosome, complete genome
>NZ_CP058207.1 Escherichia marmotae strain RHB42-C09 chromosome, complete genome
>NZ_CP098206.1 Escherichia coli strain Z0117EC0054 chromosome, complete genome
>NZ_CP027219.1 Escherichia coli strain 2015C-3163 chromosome, complete genome
>NZ_CP101263.1 Escherichia coli strain EC21Z-063 chromosome, complete genome
>NZ_AP017620.1 Escherichia coli strain MRY15-131 chromosome, complete genome
>NZ_OY754453.1 Escherichia coli isolate F95 chromosome 1, complete sequence
>NZ_CP010140.1 Escherichia coli strain D3 chromosome, complete genome
>NZ_CP091020.1 Escherichia coli strain STEC308 chromosome, complete genome
>NZ_CP107281.1 Escherichia coli strain JCL301 chromosome, complete genome
>NZ_CP133854.1 Escherichia coli strain ES4 chromosome, complete genome
>NZ_CP053259.1 Escherichia coli strain GF3-3 chromosome, complete genome
>NZ_CP099349.1 Escherichia fergusonii strain RHB16-E2-C07 chromosome, complete genome
>NZ_CP010116.1 Escherichia coli strain C1 chromosome, complete genome
>NZ_CP028641.1 Escherichia coli strain 132 chromosome, complete genome
>NZ_CP142439.1 Escherichia coli strain Case 3 chromosome, complete genome
>NZ_CP124324.1 Escherichia coli strain AVS0536 chromosome, complete genome
>NZ_CP049348.1 Escherichia coli strain 3R chromosome, complete genome
>NZ_CP117647.1 Escherichia albertii strain BIA_16-3 chromosome, complete genome
>NZ_CP102853.1 Escherichia coli strain 573 chromosome, complete genome
>NZ_CP019256.1 Escherichia coli strain 13TMH22 chromosome, complete genome
>NZ_CP017436.1 Escherichia coli O157:H7 strain 2149 chromosome, complete genome
>NZ_CP070287.2 Escherichia albertii strain Sample 168 chromosome, complete genome
>NZ_OX460335.1 Escherichia coli strain EC0880B isolate EC0880B_R2 chromosome 1, complete sequence
>NZ_CP104539.1 Escherichia coli strain E6 chromosome, complete genome
>NZ_CP068820.1 Escherichia coli strain RIVM_C029951 chromosome, complete genome
>NZ_CP040805.1 Escherichia fergusonii strain EFCF056 chromosome, complete genome
>NZ_CP122454.1 Escherichia coli strain 82.0311 chromosome, complete genome
>NZ_CP058651.1 Escherichia coli strain WCHEC035123 chromosome, complete genome
>NZ_CP018245.1 Escherichia coli strain 472 chromosome, complete genome
>NZ_CP135658.1 Escherichia coli strain TUM10008 chromosome, complete genome
>NZ_CP117654.1 Escherichia albertii strain BIA_15 chromosome, complete genome
>NZ_CP141591.1 Escherichia coli strain W24 chromosome, complete genome
>NZ_LR890270.1 Escherichia coli strain MINF_7C isolate MINF_7C chromosome 1, complete sequence
>NZ_CP012869.1 Escherichia coli strain K-12 substr. MG1655_TMP32XR1 chromosome, complete genome
>NZ_CP128912.1 Escherichia coli strain TUM13773 chromosome, complete genome
>NZ_CP027366.1 Escherichia coli strain 89-3156 chromosome, complete genome
>NZ_CP072539.1 Escherichia coli O128ac:H12 strain AW1.7 chromosome, complete genome
>NZ_CP092452.1 Escherichia coli isolate TKEC21-59 chromosome, complete genome
>NZ_CP050044.1 Escherichia coli strain 74-2 chromosome, complete genome
>NZ_AP022105.1 Escherichia coli strain WP5-S17-ESBL-10 chromosome, complete genome
>NZ_CP044443.1 Escherichia coli strain HeN100 chromosome, complete genome
>NZ_CP082831.1 Escherichia coli strain SCAID WND1-2021 (1/128) chromosome, complete genome
>NZ_CP010304.1 Escherichia coli O157:H7 str. SS52 chromosome, complete genome
>NZ_CP048603.1 Escherichia coli strain ChlosBP-23-1 chromosome, complete genome
>NZ_CP070593.1 Escherichia coli strain ESC53083 chromosome, complete genome
>NZ_AP018802.1 Escherichia coli strain E2863 chromosome, complete genome
>NZ_CP110117.1 Escherichia coli strain 2-331 chromosome, complete genome
>NZ_CP142956.1 Escherichia coli strain EC200461 chromosome, complete genome
>NZ_CP043203.1 Escherichia coli O16:H48 strain PG20180058 chromosome, complete genome
>NZ_CP080163.1 Escherichia coli strain PK8275 chromosome, complete genome
>NZ_CP117235.1 Escherichia coli strain ATCC 25922 chromosome, complete genome
>NZ_CP116145.1 Escherichia coli strain DETEC-P622 chromosome, complete genome
>NZ_CP081767.1 Escherichia coli strain 0H18 chromosome, complete genome
>NZ_CP081774.1 Escherichia coli strain 0H24 chromosome, complete genome
>NZ_CP060933.1 Escherichia coli strain EC12 chromosome, complete genome
>NZ_CP107122.1 Escherichia coli strain S9 chromosome, complete genome
>NZ_CP016625.1 Escherichia coli O157:H7 strain FRIK944 chromosome, complete genome
>NZ_CP116981.1 Escherichia coli strain E6474 chromosome, complete genome
>NZ_CP097882.1 Escherichia coli str. K-12 substr. MG1655 strain K-12 chromosome, complete genome
>NZ_CP101233.1 Escherichia coli strain EC21Z-137 chromosome, complete genome
>NZ_CP068807.1 Escherichia coli strain RIVM_C018583 chromosome, complete genome
>NZ_CP075737.1 Escherichia coli strain CPF6 chromosome, complete genome
>NZ_CP051219.1 Escherichia coli strain SFE8 chromosome, complete genome
>NZ_CP127035.1 Escherichia coli strain TW10573 chromosome, complete genome
>NZ_CP069639.1 Escherichia coli strain SSGNw1 chromosome, complete genome
>NC_017628.1 Escherichia coli IHE3034, complete sequence
>NZ_CP091664.1 Escherichia coli strain KKa019 chromosome, complete genome
>NZ_CP038412.1 Escherichia coli O157:H7 strain 493/89 chromosome, complete genome
>NZ_CP096837.1 Escherichia coli strain PS10-3 chromosome, complete genome
>NZ_CP097719.1 Escherichia coli strain MS1679 chromosome, complete genome
>NZ_CP010169.1 Escherichia coli strain H5 chromosome, complete genome
>NZ_CP070902.1 Escherichia coli strain 99COLEC chromosome, complete genome
>NZ_CP097724.1 Escherichia coli strain MS1494 chromosome, complete genome
>NZ_CP110017.1 Escherichia coli strain HE_50 chromosome, complete genome
>NZ_CP053785.1 Escherichia coli isolate 2-101 chromosome, complete genome
>NZ_CP041416.1 Escherichia coli strain STEC711 chromosome, complete genome
>NZ_CP115370.1 Escherichia coli strain CUVET17-972 chromosome, complete genome
>NZ_CP116197.1 Escherichia coli strain DETEC-C31 chromosome, complete genome
>NZ_CP072786.1 Escherichia coli strain JA0257 chromosome, complete genome
>NZ_CP104509.1 Escherichia coli strain E2 chromosome, complete genome
>NZ_CP111098.1 Escherichia coli strain RM6067 chromosome, complete genome
>NZ_CP035826.1 Escherichia coli strain 67-1 chromosome, complete genome
>NZ_CP035831.1 Escherichia coli strain 67-1 extrachromosomal
>NZ_AP027953.1 Escherichia coli strain VE-F5 chromosome, complete genome
>NZ_CP069459.1 Escherichia coli strain FDAARGOS_1249 chromosome, complete genome
>NZ_CP053211.1 Escherichia coli strain QDFD216 chromosome, complete genome
>NZ_CP080126.1 Escherichia coli strain PK8568 chromosome, complete genome
>NZ_CP129279.1 Escherichia coli strain GZM7 chromosome, complete genome
>NZ_CP135646.1 Escherichia coli strain TUM14668 chromosome, complete genome
>NZ_CP122872.1 Escherichia coli strain ETEC1718 chromosome, complete genome
>NZ_CP034803.1 Escherichia coli strain 2009C-3554 chromosome, complete genome
>NZ_CP091691.1 Escherichia coli strain KMi006 chromosome, complete genome
>NZ_CP116166.1 Escherichia coli strain DETEC-P169 chromosome, complete genome
>NZ_AP022049.1 Escherichia coli strain WP4-S17-ESBL-08 chromosome, complete genome
>NZ_CP065611.1 Escherichia coli strain FDAARGOS_945 chromosome, complete genome
>NZ_AGTD01000001.1 Escherichia coli UMNF18 chromosome, whole genome shotgun sequence
>NC_009800.1 Escherichia coli HS, complete sequence
>NZ_CP019280.1 Escherichia coli strain 13P484A chromosome, complete genome
>NZ_AP027206.1 Escherichia coli strain JNE082640 chromosome, complete genome
>NZ_CP120633.1 Escherichia coli strain USVAST219 chromosome, complete genome
>NZ_CP047378.1 Escherichia coli strain CAU16175 chromosome, complete genome
>NZ_CP038355.1 Escherichia coli O157:H7 str. F8092B chromosome, complete genome
>NZ_CP011342.2 Escherichia coli K-12 substr. GM4792 chromosome, complete genome
>NZ_AP027162.1 Escherichia coli strain EH031 chromosome, complete genome
>NZ_CP116159.1 Escherichia coli strain DETEC-P351 chromosome, complete genome
>NZ_CP084895.1 Escherichia coli strain g74 chromosome, complete genome
>NZ_AP027417.1 Escherichia coli strain EC361 isolate EC361 chromosome, complete genome
>NZ_CP040456.1 Escherichia coli strain UPEC132 chromosome, complete genome
>NZ_CP123266.1 Escherichia coli strain YZLc23-1 chromosome, complete genome
>NZ_CP038394.1 Escherichia coli O55:H7 strain DEC5A chromosome, complete genome
>NZ_CP050031.1 Escherichia coli strain 33-6 chromosome, complete genome
>NZ_CP007275.1 Escherichia coli strain O18 chromosome, complete genome
>NZ_CP060928.1 Escherichia coli strain EC13 chromosome, complete genome
>NZ_CP007491.1 Escherichia coli strain ACN002 chromosome, complete genome
>NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
>NZ_CP134717.1 Escherichia coli strain RIVM_C036204 chromosome, complete genome
>NZ_CP027555.1 Escherichia coli strain 2013C-3513 chromosome, complete genome
>NZ_CP056077.1 Escherichia coli strain MS1170 chromosome, complete genome
>NZ_CP102380.1 Escherichia coli strain BM28 chromosome, complete genome
>NZ_CP081684.1 Escherichia coli strain 0H23 chromosome, complete genome
>NZ_CP141088.1 Escherichia coli strain KE47 chromosome, complete genome
>NZ_CP038357.1 Escherichia coli O157:H7 strain F7508 chromosome, complete genome
>NZ_CP062725.1 Escherichia coli O157:H7 strain Z1813 chromosome, complete genome
>NZ_CP099344.1 Escherichia marmotae strain RHB35-E2-C08 chromosome, complete genome
>NZ_CP055599.1 Escherichia fergusonii strain RHB41-C23 chromosome, complete genome
>NZ_CP115351.1 Escherichia coli strain CUVET21-37 chromosome, complete genome
>NZ_CP128950.1 Escherichia coli strain TUM2805 chromosome, complete genome
>NZ_OY019088.1 Escherichia coli O25b:H4-ST131 isolate 42 chromosome C, complete sequence
>NZ_CP124357.1 Escherichia coli strain AVS0467 chromosome, complete genome
>NZ_CP086391.1 Escherichia coli strain 1585m1 chromosome, complete genome
>NZ_CP073984.1 Escherichia coli strain MB15 chromosome, complete genome
>NZ_CP126348.1 Escherichia coli strain NN5 chromosome, complete genome
>NZ_CP042973.1 Escherichia coli strain CFSAN061768 chromosome, complete genome
>NZ_CP041448.1 Escherichia coli strain YPE10 chromosome, complete genome
>NZ_CP124343.1 Escherichia coli strain AVS0533 chromosome, complete genome
>NZ_CP100500.1 Escherichia coli strain LH50-c chromosome, complete genome
>NZ_CP076318.1 Escherichia coli strain Survcare045 chromosome, complete genome
>NZ_CP047710.1 Escherichia coli strain Eco-15 chromosome, complete genome
>NZ_CP007391.1 Escherichia coli strain ST540 chromosome, complete genome
>NZ_CP013031.1 Escherichia coli strain H1827/12 chromosome, complete genome
>NZ_CP034213.1 Escherichia albertii strain NCTC 9362 chromosome, complete genome
>NZ_CP103479.1 Escherichia coli strain 4621 chromosome, complete genome
>NZ_CP053603.1 Escherichia coli strain Dam/Dcm chromosome, complete genome
>NZ_CP126343.1 Escherichia coli strain DAX4 chromosome, complete genome
>NZ_CP093221.1 Escherichia coli strain ER2683 chromosome, complete genome
>NZ_CP053597.1 Escherichia coli strain T7Express_LysY chromosome, complete genome
>NZ_CP068035.1 Escherichia coli strain U90 chromosome, complete genome
>NZ_CP021691.1 Escherichia coli strain AR_0151 chromosome, complete genome
>NZ_CP014641.1 Escherichia coli strain BLK9 chromosome, complete genome
>NZ_CP119730.1 Escherichia coli strain E32 chromosome, complete genome
>NZ_AP025677.1 Escherichia coli strain Rb-23 chromosome, complete genome
>NZ_CP135712.1 Escherichia coli strain TUM1586 chromosome, complete genome
>NZ_CP104077.1 Escherichia coli strain HB42 chromosome, complete genome
>NZ_CP104681.1 Escherichia coli strain 2022CK-00450 chromosome, complete genome
>NZ_CP068281.1 Escherichia coli strain CY706 chromosome, complete genome
>NZ_CP127314.1 Escherichia coli strain C25 chromosome, complete genome
>NZ_LR740776.1 Escherichia coli strain BEN2908 isolate 1 day old chicken chromosome APEC2908, complete sequence
>NZ_CP041302.1 Escherichia coli strain MSHS 472 chromosome, complete genome
>NZ_CP035817.1 Escherichia coli strain E7476 chromosome, complete genome
>NZ_CP051738.1 Escherichia coli strain SCU-105 chromosome, complete genome
>NZ_CP029579.1 Escherichia coli strain DA33137 chromosome, complete genome
>NZ_CP091677.1 Escherichia coli strain KFu022 chromosome, complete genome
>NZ_LR595691.1 Escherichia coli isolate EcMAD1 chromosome EcMAD
>NZ_CP141079.1 Escherichia coli strain KE54 chromosome, complete genome
>NZ_CP025401.1 Escherichia coli strain MS8345 chromosome, complete genome
>NZ_CP139794.1 Escherichia coli strain Nord8 chromosome, complete genome
>NZ_CP029687.1 Escherichia coli strain E706 chromosome, complete genome
>NZ_CP027390.1 Escherichia coli strain 2015C-4944 chromosome, complete genome
>NZ_CP054368.1 Escherichia coli strain SCU-115 chromosome, complete genome
>NZ_CP064825.1 Escherichia coli UTI89 chromosome, complete genome
>NZ_CP051698.1 Escherichia coli strain SCU-152 chromosome, complete genome
>NZ_CP058308.1 Escherichia coli strain AMSCJX04 chromosome, complete genome
>NZ_CP069642.1 Escherichia coli strain SSGNw2 chromosome, complete genome
>NZ_CP142044.1 Escherichia coli strain L9 chromosome, complete genome
>NZ_CP040570.1 Escherichia coli O157:H7 strain ECP17-1298 chromosome, complete genome
